Age 11 to 20,Yes,"No, I haven't receive anything.",College,Face-to-face classes,No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
21-25,Yes,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
21-25,Yes,Daily Needs (Goods),College,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Online classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Online classes,Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,"No, I haven't receive anything.",College,Online classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will not enroll for the school year
Age 11 to 20,Yes,Cash,College,Online classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),College,Online classes,Slow Internet Connection,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,School Essentials/Supplies;Daily Needs (Goods),College,Online classes,No Internet Access;Financial Problems;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Online classes,Slow Internet Connection;No Internet Access;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods);Cash,College,Face-to-face classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,School Essentials/Supplies;Cash,College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,School Essentials/Supplies;Daily Needs (Goods),College,Online classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
21-25,No,Daily Needs (Goods),College,Online classes,Slow Internet Connection;Financial Problems,I will enroll for the school year
21-25,No,Cash,College,Face-to-face classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will not enroll for the school year
26 and above,Yes,School Essentials/Supplies,Junior High,Online classes,Financial Problems,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods);Cash,College,Face-to-face classes,Slow Internet Connection,I will enroll for the school year
